CLIENTNUM;Churn;Age;Gender;Dependents;EducationLevel;MaritalStatus;YearIncome;Purpose;Card_Category;Months;TotalRelationshipCount;MonthsInactive12;ContactsCount12;CreditLimit;TotalAmtChngQ4Q1;TotalTransAmt;TotalCtChngQ4Q1;AvgUtilizationRatio
768805383;0;45;M;3;среднее;женат / замужем;277188.4448;сыграть свадьбу;Blue;39;5;1;3;126910;1.335;1144;1.625;0.061
818770008;0;49;F;5;среднее;женат / замужем;162146.5421;свадьба;Blue;44;6;1;2;82560;1.541;1291;3.714;0.105
713982108;0;51;M;3;высшее;гражданский брак;269423.963;покупка жилья для семьи;Blue;36;4;1;0;34180;2.594;1887;2.333;0
769911858;0;40;F;4;высшее;гражданский брак;194744.7968;покупка жилья для сдачи;Blue;34;3;4;1;33130;1.405;1171;2.333;0.76
709106358;0;40;M;3;СРЕДНЕЕ;женат / замужем;228727.3482;свадьба;Blue;21;5;1;0;47160;2.175;816;2.5;0
713061558;0;44;M;2;среднее;Не женат / не замужем;108909.2717;свадьба;Blue;36;3;1;2;40100;1.376;1088;0.846;0.311
810347208;0;51;M;4;среднее;гражданский брак;151552.1394;жилье;Gold;46;6;1;3;345160;1.975;1330;0.722;0.066
818906208;0;32;M;0;среднее;Не женат / не замужем;153351.5444;покупка недвижимости;Silver;27;2;2;2;290810;2.204;1538;0.714;0.048
710930508;0;37;M;3;среднее;женат / замужем;256294.4183;операции со своей недвижимостью;Blue;36;5;2;0;223520;3.355;1350;1.182;0.113
719661558;0;48;M;2;среднее;женат / замужем;100074.1834;сыграть свадьбу;Blue;36;6;3;3;116560;1.524;1441;0.882;0.144
708790833;0;42;M;5;среднее;гражданский брак;217137.1994;жилье;Blue;31;5;3;2;67480;0.831;1201;0.68;0.217
710821833;0;65;M;1;среднее;женат / замужем;156572.9652;покупка жилья для семьи;Blue;54;6;2;3;90950;1.433;1314;1.364;0.174
710599683;0;56;M;1;среднее;женат / замужем;70175.87269;сделка с подержанным автомобилем;Blue;36;3;6;0;117510;3.397;1539;3.25;0
816082233;0;35;M;3;среднее;гражданский брак;275292.9966;на проведение свадьбы;Blue;30;5;1;3;85470;1.163;1311;2;0.195
712396908;0;57;F;2;среднее;Не женат / не замужем;105864.2562;свадьба;Blue;48;5;2;2;24360;1.19;1570;0.611;0.279
714885258;0;44;M;4;среднее;женат / замужем;148176.4495;покупка жилой недвижимости;Blue;37;5;1;2;42340;1.707;1348;1.7;0.23
709967358;0;48;M;4;среднее;женат / замужем;;на покупку подержанного автомобиля;Blue;36;6;2;3;303670;1.708;1671;0.929;0.078
753327333;0;41;M;3;среднее;женат / замужем;133757.8109;получение высшего образования;Blue;34;4;4;1;135350;0.653;1028;1.625;0.095
806160108;0;61;M;1;среднее;гражданский брак;198123.746;на проведение свадьбы;Blue;56;2;2;3;31930;1.831;1336;1.143;0.788
709327383;0;45;F;2;Среднее;женат / замужем;47457.97996;автомобили;Blue;37;6;1;2;144700;0.966;1207;0.909;0.08
806165208;0;47;M;1;среднее;в разводе;77027.19956;на покупку своего автомобиля;Blue;42;5;2;0;209790;0.906;1178;0.929;0.086
